Pos	Strand	Score
-970201	+	6.6628
-970183	+	12.6506
-970178	+	6.0483
-969697	-	6.2842
-969209	-	5.4967
-968520	+	6.6894
-968485	-	5.7299
-968032	+	6.3107
-967958	-	5.1141
-967902	+	7.3039
-967323	+	9.0447
-967205	-	6.6628
-966810	-	9.0447
-966423	-	9.2451
-966252	+	5.3778
-965816	-	5.3778
-965617	-	6.2550
-965504	-	5.8396
-964832	+	11.3086
-964640	-	11.7177
-964589	+	5.8459
-964481	-	8.9826
-964286	+	7.8520
-964199	-	6.0483
-964174	-	6.5175
-964002	+	5.8459
-963908	-	9.2514
-963792	-	5.8396
-963769	-	6.7801
-962895	+	6.2487
-962599	+	6.4574
-962473	-	5.5846
-962396	+	5.6392
-962125	+	5.3208
-961868	-	7.1879
-961843	-	5.1141
-961749	-	6.4574
-961646	-	7.1816
-960311	-	6.5734
-960292	-	6.5175
-960285	+	5.7856
-959801	-	5.4673
-959782	+	9.0447
-959634	+	5.8459
-959459	-	6.4296
-958588	-	6.5100
-958544	+	10.5871
-957972	-	5.0876
-957857	-	6.5100
-957585	+	7.0985
-957104	-	5.8396
-956386	-	8.9826
-955220	+	7.8226
-954429	+	5.0876
-954223	+	5.5232
-953110	-	8.9826
-952867	-	6.1377
-952493	-	7.8520
-952150	-	9.2451
-952146	-	9.9155
-950654	+	6.7724
-950544	+	8.7849
-949997	-	7.4429
-949527	+	5.0876
-949328	+	7.1816
-948913	+	8.9826
-948589	-	9.5064
-948352	-	6.5734
-948288	-	6.9191
-948213	-	5.0950
-948037	+	7.0351
-947569	+	5.0876
-947369	+	7.8226
-947321	+	5.5771
-947204	-	5.2238
-947194	+	5.4673
-946498	-	6.5100
-946260	-	5.3794
-945966	-	6.5100
-945476	+	6.7738
-945137	+	6.5734
-945029	+	7.4442
-944983	-	5.8293
-944744	+	10.5871
-944347	-	6.5175
-944084	-	5.1141
-943506	-	8.1144
-943421	+	8.3771
-943236	+	6.4561
-942966	-	6.5100
-942910	-	12.6506
-942896	-	8.3771
-942350	-	7.4429
-941763	-	6.7724
-941630	-	7.8520
-941520	-	6.7635
-941503	+	6.1022
-941450	+	6.7724
-940735	+	6.0483
-940726	-	9.8351
-939613	+	6.5100
-939519	+	9.6542
-939061	+	7.4442
-938094	+	5.3208
-938053	+	5.0950
-936863	+	10.5871
-936848	+	6.1009
-935641	-	9.9155
-935390	+	9.9155
-935087	-	7.4429
-934879	-	5.8396
-934811	+	8.7849
-934430	-	6.2487
-934311	+	7.8520
-934276	+	5.3794
-933961	-	6.6628
-933327	+	7.4429
-933185	-	5.5771
-933103	-	8.3771
-933008	-	7.0972
-933005	+	7.7067
-932852	-	5.3208
-932451	+	6.5100
-932282	-	6.1022
-932265	+	6.0483
-931859	+	5.6392
-930994	+	6.1022
-930742	+	10.1793
-930685	+	5.5771
-930645	+	5.8459
-930466	-	5.9679
-930458	-	7.8226
-930415	-	6.3647
-929338	-	9.7702
-927435	-	5.0876
-927142	-	5.2036
-926238	+	7.8520
-926215	+	9.5077
-926194	+	9.2451
-926105	-	9.9155
-925580	+	6.1022
-925464	+	5.0876
-925328	+	5.3778
-924774	-	6.7801
-924618	-	5.3778
-923734	-	6.1009
-923228	+	5.5771
-923114	-	6.2487
-923016	+	6.4561
-922928	+	5.8459
-921649	-	9.5077
-921626	-	6.5721
-921517	+	5.0876
-921480	+	7.1879
-921193	-	7.7067
-920661	+	5.7299
-920656	+	11.2575
-920558	+	6.2550
-919829	+	5.7591
-919110	+	5.7856
-918823	-	5.5601
-918806	-	10.5566
-918427	-	6.9191
-918415	+	10.5871
-918361	+	6.5456
-917876	+	6.1022
-917400	-	6.4296
-915813	-	5.3794
-914288	+	8.9826
-912346	-	5.6392
-912252	-	6.4806
-912058	+	5.8293
-911796	+	6.6628
-911611	-	5.7299
-911584	-	5.8459
-911428	-	5.9029
-911373	-	8.5735
-911311	+	5.3564
-911282	+	9.5077
-911207	+	9.5077
-911136	+	9.5077
-911065	+	9.5077
-910823	-	6.7724
-910369	+	5.1141
-909994	+	9.2514
-909956	+	12.6506
-909897	+	10.8484
-909846	+	6.3107
-909841	-	6.0205
-909838	+	10.8484
-909787	+	6.3107
-909782	-	6.0205
-909779	+	10.8484
-909728	+	6.3107
-909723	-	6.0205
-909720	+	10.8484
-909669	+	6.3107
-909664	-	6.0205
-909661	+	10.8484
-909610	+	6.3107
-909605	-	6.0205
-909602	+	10.8484
-909553	-	5.3500
-909550	+	9.0182
-909534	-	9.2348
-909524	-	9.9155
-909163	+	6.2550
-909116	+	6.0483
-909016	-	6.0483
-908881	+	5.2238
-908562	-	12.9132
-908270	+	5.9924
-908248	+	7.1713
-908138	+	6.9812
-907731	+	5.0337
-907726	-	5.1141
-907666	+	5.8293
-907437	-	6.9812
-906489	+	9.5077
-906026	+	5.7870
-905621	+	5.0350
-905457	+	5.3208
-905367	-	7.8520
-904936	+	6.5734
-904242	+	6.6628
-904230	+	5.0337
-904145	+	6.7724
-903824	-	9.5077
-903610	+	9.4538
-903586	-	6.7738
-903182	+	7.1511
-903117	+	8.4931
-903065	-	7.9031
-903061	-	6.6920
-902867	-	6.4574
-901416	-	5.3208
-901380	+	5.0876
-900676	+	6.5734
-900657	-	9.7702
-900488	-	5.3208
-899922	+	8.5196
-899917	-	6.4561
-899674	+	6.7622
-899419	-	9.5064
-898897	-	5.7870
-898889	-	5.6392
-898879	-	12.9132
-898181	-	7.1879
-898113	-	6.5734
-898087	+	5.7856
-897431	+	5.7856
-897354	+	6.2487
-897179	-	8.3122
-896987	-	5.1244
-896977	-	5.7870
-896938	-	11.4895
-896345	-	9.2451
-896187	-	5.7856
-896161	+	6.5734
-896094	+	10.5871
-895573	-	9.5077
-895273	-	6.0470
-894920	+	5.6392
-894192	-	8.1144
-894096	+	9.5064
-893886	-	8.2012
-893839	+	5.1141
-893824	-	6.7738
-893810	-	5.3794
-893714	-	6.1377
-893010	+	7.8520
-892998	+	6.2550
-892937	-	6.1022
-891583	-	6.9191
-891314	+	5.8293
-890929	+	5.3208
-889948	-	6.2537
-889740	-	7.1511
-889224	+	6.7724
-889108	+	8.1144
-889034	+	6.7724
-888854	-	6.0483
-888835	-	6.5175
-888828	+	5.7856
-888005	+	7.4429
-887755	+	6.0483
-887682	-	7.4429
-887654	+	5.1244
-887512	-	6.5100
-887345	-	6.3647
-887315	-	5.3208
-887217	+	5.3208
-887177	+	5.1141
-886924	-	5.2238
-886756	+	6.5100
-886085	+	7.8226
-886031	+	6.4561
-885564	-	6.7724
-885540	-	7.1816
-884591	-	8.9826
-884191	-	6.1377
-884142	-	5.0876
-884138	-	5.3794
-883816	+	6.0483
-883208	+	6.6628
-881985	+	8.5735
-880361	+	5.0350
-880356	-	6.7788
-880293	-	5.8459
-880277	-	5.8459
-880139	+	6.5721
-880059	-	5.7591
-879860	+	5.6127
-878664	+	5.5601
-878508	+	6.5734
-878066	+	6.1009
-877815	-	6.9191
-877143	-	5.0876
-877092	-	5.8459
-876446	-	6.2537
-875787	-	6.0470
-875257	+	5.8459
-874912	+	12.3882
-874352	-	9.9155
-874109	-	9.9155
-873919	+	5.0876
-873661	-	7.8226
-873481	-	6.7724
-872987	+	7.0351
-872908	+	5.3794
-872050	-	5.7856
-872024	+	6.5734
-871777	+	6.2487
-871173	-	5.7856
-871160	-	5.1755
-870364	+	6.5734
-870240	-	5.8459
-870215	+	7.1511
-870046	-	7.1511
-869938	-	6.5734
-869789	-	6.7738
-869453	-	9.0447
-869448	-	5.3208
-869373	+	5.7299
-869299	+	7.1816
-869207	+	5.8459
-869186	-	5.9029
-869160	+	5.7856
-868984	+	6.7738
-868698	-	9.2451
-868666	-	5.3778
-868558	+	6.9825
-868242	+	5.0337
-868233	-	8.0853
-868219	+	5.2404
-868146	+	5.3778
-868116	-	5.3208
-867707	+	5.9029
-867704	-	6.5734
-867555	+	5.5587
-867318	+	5.0876
-867282	-	6.5721
-867149	+	8.3742
-867069	+	5.0950
-867040	+	7.1511
-866820	+	6.2550
-866726	+	6.1097
-866643	+	5.1510
-866609	+	9.2514
-866349	+	5.7591
-866274	-	7.2873
-866191	+	9.2514
-866083	-	8.7834
-865801	-	5.7655
-865784	-	6.3107
-865444	-	6.5175
-865380	-	6.0483
-864975	+	11.8337
-864771	+	9.8861
-864634	+	6.1643
-864578	-	6.5175
-864571	+	11.3086
-864541	-	6.1083
-864538	+	11.3086
-864503	-	5.0950
-864475	+	6.1022
-864440	-	5.0950
-864412	+	5.2974
-864408	+	9.8861
-864291	+	6.3107
-864217	+	5.1755
-864168	-	5.0950
-864141	+	9.2451
-863855	+	10.1793
-863785	+	12.9132
-863737	+	9.5077
-863688	+	12.9132
-863640	+	9.5077
-863591	+	12.9132
-863543	+	12.9132
-863494	+	12.9132
-863445	+	9.5077
-863396	+	12.9132
-863347	+	12.9132
-863298	+	12.9132
-863250	+	9.5077
-863201	+	12.9132
-863152	+	12.9132
-863103	+	12.9132
-863054	+	12.9132
-863005	+	12.9132
-862957	+	9.5077
-862908	+	12.9132
-862859	+	9.5077
-862810	+	12.9132
-862762	+	9.5077
-862609	-	5.0950
-862602	+	5.7006
-862490	-	6.3120
-862403	+	9.9155
-862364	-	6.2537
-862337	-	5.0950
-862309	+	5.2974
-862305	+	9.8861
-862230	+	9.0447
-862048	+	11.3086
-861736	-	5.0950
-861587	+	15.3846
-861410	-	6.5175
-861309	-	6.1009
-861281	-	5.7655
-861270	-	5.7870
-861253	+	6.1009
-861140	-	6.3120
-861091	+	7.0972
-861062	-	12.9119
-861059	+	6.7724
-860996	+	8.5735
-860640	+	11.0817
-860547	-	10.4406
-860544	+	6.7724
-860417	+	6.3710
-860353	+	10.5566
-860314	-	6.7738
-860159	+	5.3778
-860104	-	5.7299
-859932	+	6.9825
-859824	-	6.2550
-859737	-	6.5734
-859690	-	6.2550
-859634	+	8.3771
-859581	+	5.8459
-859546	-	5.7299
-859466	+	6.5175
-859433	+	5.7856
-859424	+	12.6506
-858899	+	6.5100
-858646	+	5.4967
-858591	+	5.1244
-858288	+	5.8459
-858250	+	6.5175
-858152	+	5.8459
-857951	-	9.2451
-857715	+	9.2451
-857707	+	6.1377
-857654	-	5.5771
-857613	-	9.4538
-857302	-	5.8293
-857038	-	7.1511
-856241	+	8.2012
-856151	+	6.9825
-856046	+	6.7724
-855913	-	6.2550
-855618	+	9.9155
-855329	-	6.5734
-854621	+	5.3794
-854367	+	5.8459
-854353	-	5.8459
-854029	+	6.6628
-853880	+	12.3882
-853696	-	12.3882
-853621	+	13.3210
-853592	+	8.5196
-853242	-	5.7591
-853009	-	5.3208
-852333	+	5.8459
-852330	-	6.3120
-851838	-	7.0351
-851413	-	6.2487
-851189	+	6.5175
-851139	-	6.5734
-851120	-	6.4806
-850877	-	5.8396
-850657	-	5.8293
-850539	-	6.5734
-850513	+	5.7856
-849864	+	8.5735
-849639	+	6.7801
-849390	+	5.6392
-849233	+	5.0876
-849229	+	6.1022
-849136	-	5.9924
-848915	+	9.5077
-848480	+	5.3208
-848307	+	9.5077
-848151	-	5.8459
-847867	+	7.4442
-847810	+	9.5077
-847763	+	6.7738
-847649	-	5.7299
-847245	+	9.0182
-847020	+	5.4967
-846840	+	5.7299
-846653	+	6.9191
-846523	-	6.3120
-846487	+	9.2451
-846190	+	5.0876
-846106	+	6.9812
-846048	-	8.7568
-845729	-	7.0972
-845045	+	11.8337
-844886	+	6.0483
-844878	+	10.1780
-844817	-	5.5771
-844777	-	9.4538
-844702	+	5.3778
-844480	-	5.8293
-844218	-	7.1511
-843818	+	6.0218
-843680	+	6.5721
-843674	-	9.2451
-843636	-	5.8459
-843512	+	8.0840
-842434	-	5.8459
-842027	-	5.3208
-841814	-	5.5771
-841628	-	7.1816
-841625	+	6.5100
-841290	-	9.0447
-840581	-	7.0351
-840567	-	6.1377
-840555	+	5.7856
-840294	-	5.0582
-839650	+	5.1141
-839393	+	6.4561
-839244	+	9.2451
-839068	+	8.7849
-839055	-	6.7724
-838975	-	9.2451
-838561	-	6.5100
-838558	+	6.7724
-838538	+	5.3794
-838076	+	7.8226
-837999	-	7.1713
-837459	+	5.7299
-837282	-	5.3794
-837119	+	6.9825
-837017	+	5.9029
-836962	-	5.6392
-836701	-	7.1879
-836485	+	7.0985
-836087	-	6.0483
-836064	-	6.5721
-835929	+	9.0447
-835744	+	6.9191
-835524	-	5.3564
-835521	+	5.7856
-835030	+	7.3625
-834917	-	6.2550
-834914	+	6.5175
-834905	+	5.7856
-834787	-	6.9825
-834423	+	8.0840
-834139	+	8.5735
-833881	-	6.5734
-833855	+	5.7856
-833503	+	6.5175
-832802	+	10.1793
-832638	+	6.3107
-832461	+	5.8459
-832442	-	12.9132
-832304	-	5.0950
-831871	+	5.9045
-831864	-	6.1377
-831446	-	6.7788
-831267	+	6.5175
-831195	+	5.3778
-831093	+	5.9924
-830742	+	5.8293
-830561	-	6.5734
-830535	+	5.7856
-830071	+	6.3647
-829911	+	6.3107
-829577	-	12.6506
-829417	-	8.5810
-829369	-	6.5734
-828835	+	6.5734
-828820	+	6.4806
-828787	-	5.3208
-828674	-	6.9191
-828477	-	7.4442
-828339	-	7.4429
-828305	-	7.8226
-828212	+	8.7263
-828010	-	6.9812
-827969	-	5.8459
-827862	-	6.5175
-827720	+	6.1377
-827663	+	11.0817
-827473	-	6.7801
-827450	+	5.3778
-827135	+	5.8764
-827068	-	9.2514
-827003	+	7.1816
-826845	-	7.0351
-825644	-	5.7856
-825553	-	6.5734
-825417	-	6.5734
-824942	-	8.7263
-824935	+	5.8459
-824769	-	6.0483
-824743	+	5.7856
-824184	+	6.5734
-824166	+	8.9826
-824021	-	6.6273
-823998	-	5.3564
-823633	+	8.9826
-823500	+	6.3107
-823478	-	6.9191
-823438	-	9.2514
-823295	+	5.6392
-823242	-	6.0483
-823155	+	7.3903
-822612	-	6.9191
-822207	+	6.7738
-821570	+	5.1755
-820770	+	6.1643
-820741	+	6.5175
-820158	-	6.5100
-819408	+	6.9812
-818970	+	11.9790
-818484	+	8.3477
-818374	-	5.7006
-818160	+	5.4967
-817981	-	5.7591
-817613	+	7.4429
-817605	-	8.6104
-817590	+	7.0351
-817469	+	6.1022
-817452	+	9.2514
-817257	-	5.0876
-817187	+	6.3107
-817106	-	6.7622
-817103	+	7.1816
-817068	-	6.5175
-816902	+	7.3609
-816805	+	11.3086
-816510	-	5.3208
-816432	-	5.1244
-816347	+	9.2451
-816176	+	6.7788
-816151	-	7.0351
-816021	-	6.7738
-815778	-	9.2514
-815678	+	5.7870
-815616	-	6.9191
-815609	+	9.2514
-815488	+	6.9812
-815428	-	5.4304
-815243	+	8.0853
-815204	-	15.3846
-814940	-	5.8459
-814840	-	5.1141
-814564	-	5.3208
-814534	-	5.3577
-814465	+	5.7870
-814331	-	8.4931
-814175	+	7.1879
-813986	+	6.0483
-813796	-	7.8226
-813690	+	6.4574
-813629	-	5.9924
-813606	-	5.9924
-813470	+	5.4967
-813363	+	6.1022
-812878	+	5.3778
-812847	+	5.5833
-812631	+	7.3903
-812627	+	6.2487
-812593	-	5.7870
-812540	-	14.7141
-812501	-	9.0447
-812492	-	9.2451
-812252	+	5.3778
-812089	-	7.1879
-812072	+	8.7263
-811943	+	8.5196
-811839	+	5.0337
-811724	-	5.9924
-811665	-	10.5566
-811575	-	5.3577
-811568	+	9.2348
-811306	-	8.7834
-811295	-	5.8459
-811195	+	6.2550
-810983	+	5.8396
-810929	+	11.9790
-810908	+	5.6127
-810837	-	5.7299
-809996	-	6.2487
-809874	+	5.8459
-809601	-	9.2514
-809562	-	5.7591
-809482	+	5.3208
-809244	-	6.1643
-807788	-	8.9826
-807694	-	8.5810
-807691	+	5.5846
-807601	-	6.7788
-807598	+	6.3107
-807329	-	5.3778
-807232	-	5.8459
-807184	+	5.1141
-807054	+	6.4296
-806876	+	9.5064
-806739	+	5.9924
-806636	+	6.7801
-805696	-	12.9132
-805491	+	9.0447
-804885	-	5.3208
-804744	+	5.3778
-804629	+	11.9790
-804527	-	9.2514
-804251	-	8.2012
-804062	-	6.7635
-803650	-	5.8396
-803381	-	9.2514
-803228	+	5.7591
-803132	+	6.6628
-802622	-	5.9029
-802382	-	7.4429
-801841	+	9.9155
-800979	-	7.1713
-800574	-	5.3577
-800448	+	7.1879
-800372	+	5.0950
-800321	-	7.8290
-800299	-	5.9924
-800281	-	5.5587
-800158	+	6.1097
-800011	-	7.9386
-800008	+	6.4267
-799995	+	8.7263
-799937	+	5.4938
-799805	+	5.9924
-799777	-	7.8290
-799685	+	6.6628
-799667	+	12.6506
-799662	+	6.0483
-799183	-	6.2842
-798695	-	5.4967
-798000	+	6.6894
-797965	-	5.7299
-797865	+	5.8459
-797513	+	5.3778
-797439	-	5.1141
-796803	+	9.0447
-796685	-	5.9924
-796290	-	9.0447
-795907	-	9.2451
-795736	+	5.3778
-795300	-	5.3778
-795101	-	6.2550
-794988	-	5.8396
-794316	+	11.3086
-794124	-	9.6542
-793965	-	8.9826
-793770	+	7.8520
-793683	-	6.0483
-793486	+	5.8459
-793392	-	9.2514
-793276	-	5.8396
-793253	-	6.7801
-792562	-	5.5846
-792377	+	6.2487
-741814	+	6.5100
-741729	-	5.3794
-741392	-	5.4304
-741349	+	6.0483
-741222	-	6.5734
-740632	+	7.8520
-740164	-	6.0483
-739852	-	8.0559
-739828	-	6.4561
-739766	+	5.5232
-739102	-	5.3208
-738609	-	5.3794
-738264	-	7.1816
-738260	-	7.8520
-737598	-	5.5232
-736835	+	9.6542
-736256	+	7.1713
-736193	+	7.8520
-736189	+	9.2451
-736182	+	5.6392
-735781	+	6.2487
-735642	+	5.3208
-735367	-	11.9790
-734827	-	5.7856
-734740	+	7.1816
-734531	+	6.0483
-734446	+	5.3794
-734278	-	6.0483
-734013	-	6.7724
-733559	+	5.1141
-733181	+	9.2514
-733143	+	12.6506
-733092	+	6.3107
-733087	-	6.0205
-733084	+	10.8484
-733033	+	6.3107
-733028	-	6.0205
-733025	+	10.8484
-732976	-	5.3500
-732973	+	9.0182
-732957	-	9.2348
-732947	-	9.9155
-732607	+	9.5077
-732586	+	6.2550
-732539	+	6.0483
-732439	-	6.0483
-731983	-	12.9132
-731694	+	5.9924
-731672	+	7.1713
-731562	+	6.9812
-731155	+	5.0337
-731150	-	5.1141
-731090	+	5.8293
-730861	-	6.9812
-729912	+	9.5077
-729449	+	5.7870
-729044	+	5.0350
-728880	+	5.3208
-728790	-	7.8520
-728352	+	6.5734
-727658	+	6.6628
-727646	+	5.0337
-727561	+	6.7724
-727240	-	9.5077
-727026	+	9.4538
-727002	-	6.7738
-726598	+	7.1511
-726533	+	8.4931
-726481	-	7.9031
-726477	-	6.6920
-726283	-	6.4574
-724796	+	5.0876
-724302	-	5.1755
-724113	+	6.5734
-724094	-	9.7702
-723925	-	5.3208
-723359	+	8.5196
-723354	-	6.4561
-723111	+	6.7622
-722856	-	9.5064
-722331	-	5.7870
-722323	-	5.6392
-722313	-	12.9132
-721548	-	6.5734
-721522	+	5.7856
-720866	+	5.7856
-720789	+	6.2487
-720614	-	8.3122
-720421	-	5.1244
-720411	-	5.7870
-720372	-	11.4895
-720125	-	6.7635
-719779	-	9.2451
-719621	-	5.7856
-719595	+	6.5734
-719528	+	10.5871
-719009	-	9.5077
-718709	-	6.0470
-718356	+	5.6392
-717628	-	8.1144
-717532	+	9.5064
-717322	-	8.2012
-717275	+	5.1141
-717260	-	6.7738
-717246	-	5.3794
-717150	-	6.1377
-716446	+	7.8520
-716434	+	6.2550
-716373	-	6.1022
-715019	-	6.9191
-714744	+	5.8293
-714359	+	5.3208
-713384	-	6.2537
-713176	-	7.1511
-712660	+	6.7724
-712544	+	8.1144
-712470	+	6.7724
-712290	-	6.0483
-712271	-	6.5175
-712264	+	5.7856
-711439	+	7.4429
-711116	-	7.4429
-711088	+	5.1244
-710946	-	6.5100
-710779	-	6.3647
-710749	-	5.3208
-710651	+	5.3208
-710611	+	5.1141
-710358	-	5.2238
-710190	+	6.5100
-710010	+	6.4296
-709519	+	7.8226
-709465	+	6.4561
-708998	-	6.7724
-708974	-	7.1816
-708027	-	8.9826
-707625	-	6.1377
-707576	-	5.0876
-707572	-	5.3794
-707250	+	6.0483
-706642	+	6.6628
-705419	+	8.5735
-703786	-	8.2012
-703723	-	5.8459
-703707	-	5.8459
-703569	+	6.5721
-703489	-	5.7591
-703290	+	5.6127
-702125	+	5.5601
-651989	-	5.4304
-651943	+	6.0483
-651817	-	6.5734
-651227	+	7.8520
-650759	-	6.0483
-650423	-	6.4561
-649697	-	5.3208
-649204	-	5.3794
-648859	-	7.1816
-648855	-	7.8520
-648193	-	5.5232
-647439	+	9.6542
-646861	+	7.1713
-646798	+	7.8520
-646794	+	9.2451
-646787	+	5.6392
-646386	+	6.2487
-646247	+	5.3208
-645973	-	11.9790
-645445	-	5.7856
-645358	+	7.1816
-645149	+	6.0483
-645064	+	5.3794
-644896	-	6.0483
-644631	-	6.7724
-643799	+	9.2514
-643761	+	12.6506
-643710	+	6.3107
-643705	-	6.0205
-643702	+	10.8484
-643651	+	6.3107
-643646	-	6.0205
-643643	+	10.8484
-643594	-	5.3500
-643591	+	9.0182
-643575	-	9.2348
-643565	-	9.9155
-643411	+	5.3208
-643225	+	9.5077
-643204	+	6.2550
-643157	+	6.0483
-643057	-	6.0483
-642601	-	12.9132
-642312	+	5.9924
-642290	+	7.1713
-642180	+	6.9812
-641783	-	5.1141
-641723	+	5.8293
-641485	-	5.9924
-641385	-	9.2451
-641315	-	5.6392
-641011	+	5.4967
-640948	-	5.9029
-640745	+	7.0985
-640046	-	6.7801
-639825	+	9.5064
-639691	+	6.2550
-639435	-	5.3208
-639392	-	5.8459
-639261	+	5.3778
-639220	+	10.5871
-638787	-	6.5100
-638732	+	5.3778
-638318	-	6.0483
-638292	+	5.7856
-638162	-	5.5601
-638081	-	6.2487
-638078	+	5.3564
-638011	-	6.0483
-637985	+	5.7856
-637863	-	5.0950
-637723	+	5.0876
-637180	-	9.2451
-636800	-	5.1755
-636764	-	5.9029
-636638	-	6.0483
-636593	+	5.9924
-636493	-	5.6392
-636486	-	8.7834
-636380	-	5.3208
-635298	-	6.7801
-635266	-	6.5175
-635262	-	6.5175
-635259	+	7.1879
-635222	-	5.6392
-635158	-	5.7870
-634754	+	8.7834
-634735	+	5.8459
-634428	-	6.4574
-633812	-	5.1755
-633793	+	6.5734
-633775	-	6.7788
-633744	-	10.1780
-633741	+	6.7622
-633641	-	5.3208
-633057	+	6.7724
-633047	-	5.0876
-631602	+	5.0950
-631489	-	5.7856
-631463	+	6.5734
-629412	+	7.1879
-629142	+	6.5734
-628340	+	5.3794
-626970	+	6.4561
-626856	-	15.3846
-626596	-	7.5308
-626136	+	6.1097
-626092	+	6.5175
-625609	+	9.5077
-625337	+	5.1141
-625007	-	5.6392
-624987	-	7.1816
-624951	+	5.6392
-624833	-	8.9826
-624693	-	8.7263
-624599	-	6.2487
-624376	-	5.3208
-624234	-	6.7788
-624231	+	9.2451
-624222	+	6.2550
-624173	+	6.9812
-624162	-	7.4429
-624014	-	6.0483
-623874	-	5.0950
-623703	+	9.2514
-623564	-	6.5721
-622697	-	10.8203
-622332	+	11.9790
-622232	-	7.9031
-622200	+	5.3208
-621974	-	8.5735
-621816	-	6.3120
-621781	-	6.5175
-621626	-	9.5077
-621594	-	8.9826
-621585	+	8.7263
-621553	+	8.7263
-621509	-	5.3778
-621246	-	9.5077
-621166	-	5.9924
-620674	-	5.0876
-620457	+	7.1816
-620453	+	6.2487
-620211	-	10.0315
-620188	-	5.2238
-619976	-	5.7870
-619922	+	11.2281
-619695	-	8.1144
-619480	-	5.3208
-619287	+	10.5566
-619279	+	6.7198
-618029	+	12.6506
-617979	-	15.3846
-617932	-	8.7834
-617879	+	6.5175
-617127	+	5.8459
-616704	-	6.5734
-616425	-	7.1816
-616405	-	5.9029
-616205	-	6.9812
-616062	+	6.9812
-615610	-	5.1141
-615524	+	15.3846
-615203	-	6.5175
-615120	+	5.8459
-615117	-	6.3120
-615109	-	9.0447
-615099	-	6.5734
-615076	-	6.5721
-614825	-	6.6628
-614798	+	9.8861
-614609	-	6.4574
-614111	+	11.9790
-614031	+	7.5063
-614010	-	8.7263
-613941	+	10.5566
-613520	+	5.1141
-613481	-	5.8459
-612856	-	5.8459
-612592	+	5.3208
-612321	-	7.4429
-612295	+	9.2451
-612027	-	5.9924
-611679	+	5.7299
-611482	+	5.0950
-611325	+	5.3778
-611213	-	6.2550
-611104	+	5.3794
-610576	+	6.0205
-610526	-	6.9191
-610327	+	9.5077
-610277	-	9.0447
-610162	+	9.2451
-609675	-	8.2317
-609410	+	6.5100
-609401	+	5.8459
-609240	-	9.5077
-608921	+	9.9155
-608702	-	7.1816
-608687	-	6.7198
-608670	+	7.1713
-608322	-	6.7724
-608311	-	6.1009
-608112	-	5.6392
-607362	-	5.6392
-607261	-	9.4538
-607039	+	5.1510
-606954	+	6.5100
-606781	-	9.9155
-606769	-	11.4908
-606614	-	5.0595
-606495	-	7.1816
-606441	+	6.9812
-606161	+	6.7738
-605984	-	8.0853
-605915	+	6.5734
-605718	-	5.3208
-604827	-	8.2012
-604560	+	6.4561
-604149	-	5.2238
-604089	-	9.7702
